   193/399        0G   0.01598  0.007667         0   0.02365        13       640         1         1    0.9957    0.8702  0.007109  0.002962         0
   194/399        0G   0.01664  0.008084         0   0.02472         9       640         1         1    0.9958    0.8368  0.007714   0.00291         0
   195/399        0G   0.01692  0.009821         0   0.02674         9       640         1    0.9999     0.996    0.8688  0.006648  0.002924         0
   196/399        0G   0.01505  0.008617         0   0.02366        13       640    0.9999         1     0.996    0.8864  0.006512  0.002936         0
   197/399        0G   0.01367  0.008023         0   0.02169         7       640    0.9999         1    0.9961    0.9132  0.005948  0.002717         0
   198/399        0G     0.013  0.008571         0   0.02157        17       640         1         1    0.9963    0.9182  0.007341  0.002482         0
   199/399        0G   0.01607  0.008028         0    0.0241        14       640         1         1    0.9963     0.929  0.006375  0.002445         0
   200/399        0G   0.01336  0.008235         0   0.02159        10       640         1         1    0.9964    0.9142   0.00722   0.00249         0
   201/399        0G   0.01531  0.007641         0   0.02295        18       640         1         1    0.9964    0.9102  0.007204  0.002492         0
   202/399        0G   0.01625  0.007894         0   0.02415         7       640         1         1    0.9965    0.9025  0.007405  0.002693         0
   203/399        0G   0.01469  0.008472         0   0.02316        15       640         1         1    0.9965    0.9238  0.006545  0.002621         0
   204/399        0G   0.01658  0.008552         0   0.02514         8       640         1         1    0.9966    0.9205  0.006217  0.002677         0
   205/399        0G   0.01241   0.00792         0   0.02033        10       640         1         1    0.9966    0.9293  0.005194  0.002553         0
   206/399        0G   0.01479  0.007799         0   0.02259         6       640         1         1    0.9965    0.8771  0.006928  0.002717         0
   207/399        0G    0.0159  0.008284         0   0.02418        11       640    0.9999         1    0.9966    0.8752  0.006436  0.002673         0
   208/399        0G   0.01456   0.00773         0   0.02229         9       640         1         1    0.9966    0.8891  0.005768  0.002664         0
   209/399        0G    0.0133  0.007425         0   0.02072        11       640         1         1    0.9966     0.926  0.005347  0.002611         0
   210/399        0G   0.01248  0.007498         0   0.01998         5       640         1         1    0.9965    0.8975  0.007102  0.002749         0
   211/399        0G   0.01413  0.009539         0   0.02367        16       640         1         1    0.9965    0.8764   0.00693  0.002748         0
   212/399        0G   0.01409   0.00778         0   0.02187        15       640         1         1    0.9965    0.9236    0.0056  0.002717         0
   213/399        0G    0.0128  0.008148         0   0.02095        10       640    0.9818    0.9908    0.9958    0.9019  0.006047  0.002954         0
   214/399        0G    0.0133  0.008047         0   0.02135         7       640    0.9815    0.9724    0.9933    0.8633  0.007344  0.003258         0
   215/399        0G   0.01341   0.00784         0   0.02125        13       640    0.9815    0.9724    0.9936    0.8601  0.007276  0.003416         0
   216/399        0G   0.01313  0.008466         0   0.02159        16       640         1    0.9908    0.9964     0.887  0.006204  0.003137         0
   217/399        0G   0.01156  0.009029         0   0.02059        15       640    0.9909         1    0.9963    0.9224  0.005367  0.002888         0
   218/399        0G   0.01569  0.008925         0   0.02461        13       640         1         1    0.9965    0.8997  0.005595  0.002698         0
   219/399        0G   0.01607  0.008465         0   0.02453        11       640         1         1    0.9965    0.9283  0.005478  0.002556         0
   220/399        0G   0.01232  0.007832         0   0.02015        14       640         1         1    0.9965    0.9161  0.004961  0.002467         0
   221/399        0G   0.01301  0.007936         0   0.02095        12       640         1         1    0.9965    0.9218  0.005061  0.002436         0
   222/399        0G   0.01231  0.007991         0    0.0203        13       640         1         1    0.9965     0.934  0.005086  0.002435         0
   223/399        0G   0.01215  0.007369         0   0.01952         9       640         1         1    0.9965     0.913  0.004974  0.002424         0
   224/399        0G   0.01371  0.007965         0   0.02167         8       640         1         1    0.9964    0.9135  0.005024  0.002528         0
   225/399        0G   0.01253  0.007898         0   0.02043        15       640         1         1    0.9965    0.9316  0.004411   0.00242         0
   226/399        0G   0.01368   0.00871         0   0.02239        17       640         1         1    0.9966    0.9145  0.005994  0.002574         0
   227/399        0G   0.01186  0.007951         0   0.01981        13       640         1         1    0.9966    0.9323  0.005194  0.002495         0
   228/399        0G   0.01433  0.008198         0   0.02253        13       640         1         1    0.9967    0.9154  0.004773  0.002445         0
   229/399        0G   0.01202  0.007671         0   0.01969         9       640         1         1    0.9968     0.929  0.004438  0.002394         0
   230/399        0G   0.01403  0.008183         0   0.02221        14       640         1         1    0.9969    0.9473  0.004717  0.002421         0
